Code commune;Libellé des communes;Typo degré de densité;Région;Population municipale 2010;Part population dense (1);Part population intermédiaire (2);Part population peu dense (3);Part population très peu dense (4)
08255;Linay;4;44;243;0,00 %;0,00 %;0,00 %;100,00 %
08256;Liry;4;44;107;0,00 %;0,00 %;0,00 %;100,00 %
08257;Logny-Bogny;4;44;192;0,00 %;0,00 %;0,00 %;100,00 %
08259;Longwé;4;44;89;0,00 %;0,00 %;0,00 %;100,00 %
08260;Lonny;3;44;590;0,00 %;0,00 %;94,98 %;5,02 %
08262;Lucquy;3;44;570;0,00 %;0,00 %;96,33 %;3,67 %
08263;Lumes;3;44;1 138;0,00 %;0,00 %;99,80 %;0,20 %
08264;Machault;3;44;505;0,00 %;0,00 %;89,68 %;10,32 %
08268;Maisoncelle-et-Villers;4;44;73;0,00 %;0,00 %;0,00 %;100,00 %
08269;Malandry;4;44;67;0,00 %;0,00 %;0,00 %;100,00 %
08271;Manre;4;44;106;0,00 %;0,00 %;0,00 %;100,00 %
08272;Maranwez;4;44;46;0,00 %;0,00 %;0,00 %;100,00 %
08273;Marby;4;44;66;0,00 %;0,00 %;0,00 %;100,00 %
08274;Marcq;4;44;106;0,00 %;0,00 %;0,00 %;100,00 %
08275;Margny;4;44;178;0,00 %;0,00 %;0,00 %;100,00 %
08276;Margut;3;44;789;0,00 %;0,00 %;94,55 %;5,45 %
08277;Marlemont;4;44;147;0,00 %;0,00 %;0,00 %;100,00 %
08278;Marquigny;4;44;73;0,00 %;0,00 %;0,00 %;100,00 %
08279;Mars-sous-Bourcq;4;44;55;0,00 %;0,00 %;0,00 %;100,00 %
08280;Marvaux-Vieux;4;44;70;0,00 %;0,00 %;0,00 %;100,00 %
08281;Matton-et-Clémency;3;44;462;0,00 %;0,00 %;98,29 %;1,71 %
08282;Maubert-Fontaine;3;44;1 060;0,00 %;0,00 %;94,90 %;5,10 %
08283;Mazerny;4;44;120;0,00 %;0,00 %;0,00 %;100,00 %
08284;Les Mazures;3;44;945;0,00 %;0,00 %;93,05 %;6,95 %
08286;Ménil-Annelles;4;44;96;0,00 %;0,00 %;0,00 %;100,00 %
08287;Ménil-Lépinois;4;44;127;0,00 %;0,00 %;0,00 %;100,00 %
08288;Mesmont;4;44;101;0,00 %;0,00 %;0,00 %;100,00 %
08289;Messincourt;3;44;610;0,00 %;0,00 %;97,32 %;2,68 %
08291;Mogues;4;44;154;0,00 %;0,00 %;0,00 %;100,00 %
08293;Moiry;3;44;191;0,00 %;0,00 %;75,21 %;24,79 %
08294;La Moncelle;3;44;135;0,00 %;0,00 %;100,00 %;0,00 %
08295;Mondigny;4;44;181;0,00 %;0,00 %;0,00 %;100,00 %
08296;Montcheutin;4;44;146;0,00 %;0,00 %;0,00 %;100,00 %
08297;Montcornet;4;44;326;0,00 %;0,00 %;0,00 %;100,00 %
08298;Montcy-Notre-Dame;2;44;1 562;0,00 %;87,37 %;11,12 %;1,50 %
08300;Le Mont-Dieu;4;44;20;0,00 %;0,00 %;0,00 %;100,00 %
08301;Montgon;4;44;69;0,00 %;0,00 %;0,00 %;100,00 %
08302;Monthermé;3;44;2 459;0,00 %;0,00 %;96,15 %;3,85 %
08303;Monthois;3;44;386;0,00 %;0,00 %;97,25 %;2,75 %
08304;Montigny-sur-Meuse;4;44;97;0,00 %;0,00 %;0,00 %;100,00 %
08305;Montigny-sur-Vence;4;44;223;0,00 %;0,00 %;0,00 %;100,00 %
08306;Mont-Laurent;4;44;69;0,00 %;0,00 %;0,00 %;100,00 %
08307;Montmeillant;4;44;94;0,00 %;0,00 %;0,00 %;100,00 %
08308;Mont-Saint-Martin;4;44;84;0,00 %;0,00 %;0,00 %;100,00 %
08309;Mont-Saint-Remy;4;44;55;0,00 %;0,00 %;0,00 %;100,00 %
08310;Mouron;4;44;81;0,00 %;0,00 %;0,00 %;100,00 %
08311;Mouzon;3;44;2 452;0,00 %;0,00 %;90,17 %;9,83 %
08312;Murtin-et-Bogny;4;44;180;0,00 %;0,00 %;0,00 %;100,00 %
08313;Nanteuil-sur-Aisne;4;44;118;0,00 %;0,00 %;0,00 %;100,00 %
08314;Neuflize;3;44;728;0,00 %;0,00 %;99,36 %;0,64 %
08315;Neufmaison;4;44;58;0,00 %;0,00 %;0,00 %;100,00 %
08316;Neufmanil;3;44;1 172;0,00 %;81,12 %;17,46 %;1,42 %
08317;La Neuville-à-Maire;4;44;108;0,00 %;0,00 %;0,00 %;100,00 %
08318;La Neuville-aux-Joûtes;4;44;353;0,00 %;0,00 %;0,01 %;99,99 %
08319;Neuville-lez-Beaulieu;4;44;345;0,00 %;0,00 %;0,03 %;99,97 %
08320;La Neuville-en-Tourne-à-Fuy;3;44;542;0,00 %;0,00 %;99,65 %;0,35 %
08321;Neuville-Day;4;44;171;0,00 %;0,00 %;0,00 %;100,00 %
08322;Neuville-lès-This;3;44;384;0,00 %;0,00 %;100,00 %;0,00 %
08323;La Neuville-lès-Wasigny;3;44;165;0,00 %;0,00 %;98,75 %;1,25 %
08324;Neuvizy;4;44;112;0,00 %;0,00 %;0,00 %;100,00 %
08325;Noirval;4;44;34;0,00 %;0,00 %;0,00 %;100,00 %
08326;Nouart;4;44;143;0,00 %;0,00 %;0,00 %;100,00 %
08327;Nouvion-sur-Meuse;3;44;2 289;0,00 %;0,00 %;99,60 %;0,40 %
08328;Nouzonville;2;44;6 318;0,00 %;97,47 %;1,59 %;0,94 %
08329;Novion-Porcien;3;44;502;0,00 %;0,00 %;96,41 %;3,59 %
08330;Novy-Chevrières;3;44;652;0,00 %;0,00 %;93,08 %;6,92 %
08331;Noyers-Pont-Maugis;3;44;735;0,00 %;0,00 %;66,69 %;33,31 %
08332;Oches;4;44;38;0,00 %;0,00 %;0,00 %;100,00 %
08333;Olizy-Primat;4;44;219;0,00 %;0,00 %;0,00 %;100,00 %
08334;Omicourt;4;44;44;0,00 %;0,00 %;0,00 %;100,00 %
08335;Omont;4;44;86;0,00 %;0,00 %;0,00 %;100,00 %
08336;Osnes;4;44;236;0,00 %;0,00 %;7,27 %;92,73 %
08338;Pauvres;4;44;187;0,00 %;0,00 %;0,00 %;100,00 %
08339;Perthes;3;44;302;0,00 %;0,00 %;96,95 %;3,05 %
08340;Poilcourt-Sydney;4;44;180;0,00 %;0,00 %;0,00 %;100,00 %
08341;Poix-Terron;3;44;852;0,00 %;0,00 %;97,79 %;2,21 %
08342;Pouru-aux-Bois;4;44;290;0,00 %;0,00 %;0,00 %;100,00 %
08343;Pouru-Saint-Remy;3;44;1 263;0,00 %;0,00 %;96,06 %;3,94 %
08344;Prez;4;44;146;0,00 %;0,00 %;0,00 %;100,00 %
08346;Prix-lès-Mézières;2;44;1 367;0,00 %;91,52 %;8,19 %;0,29 %
08347;Puilly-et-Charbeaux;4;44;258;0,00 %;0,00 %;0,00 %;100,00 %
08348;Puiseux;4;44;108;0,00 %;0,00 %;0,00 %;100,00 %
08349;Pure;3;44;643;0,00 %;0,00 %;99,03 %;0,97 %
08350;Quatre-Champs;4;44;187;0,00 %;0,00 %;0,00 %;100,00 %
08351;Quilly;4;44;84;0,00 %;0,00 %;0,00 %;100,00 %
08352;Raillicourt;4;44;221;0,00 %;0,00 %;0,00 %;100,00 %
08353;Rancennes;3;44;721;0,00 %;45,43 %;53,42 %;1,15 %
08354;Raucourt-et-Flaba;3;44;855;0,00 %;0,00 %;96,09 %;3,91 %
08355;Regniowez;4;44;387;0,00 %;0,00 %;0,00 %;100,00 %
08356;Remaucourt;4;44;154;0,00 %;0,00 %;0,00 %;100,00 %
08357;Remilly-Aillicourt;3;44;804;0,00 %;0,00 %;96,91 %;3,09 %
08358;Remilly-les-Pothées;4;44;253;0,00 %;0,00 %;0,00 %;100,00 %
08360;Renneville;4;44;203;0,00 %;0,00 %;0,00 %;100,00 %
08361;Renwez;3;44;1 745;0,00 %;0,00 %;99,36 %;0,64 %
08362;Rethel;2;44;7 716;0,00 %;94,78 %;4,53 %;0,69 %
08363;Revin;2;44;7 214;0,00 %;93,62 %;5,73 %;0,65 %
08364;Rilly-sur-Aisne;4;44;111;0,00 %;0,00 %;0,00 %;100,00 %
08365;Rimogne;3;44;1 423;0,00 %;0,00 %;99,68 %;0,32 %
08366;Rocquigny;4;44;717;0,00 %;0,00 %;0,00 %;100,00 %
08367;Rocroi;3;44;2 408;0,00 %;0,11 %;94,84 %;5,06 %
08368;Roizy;3;44;250;0,00 %;0,00 %;100,00 %;0,00 %
08369;La Romagne;4;44;132;0,00 %;0,00 %;0,00 %;100,00 %
08370;Rouvroy-sur-Audry;3;44;570;0,00 %;0,00 %;98,23 %;1,77 %
08372;Rubigny;4;44;76;0,00 %;0,00 %;0,00 %;100,00 %
08373;Rumigny;4;44;383;0,00 %;0,00 %;0,00 %;100,00 %
08374;La Sabotterie;4;44;75;0,00 %;0,00 %;0,00 %;100,00 %
08375;Sachy;4;44;177;0,00 %;0,00 %;0,00 %;100,00 %
08376;Sailly;4;44;246;0,00 %;0,00 %;0,00 %;100,00 %
08377;Saint-Aignan;4;44;139;0,00 %;0,00 %;1,47 %;98,53 %
08378;Saint-Clément-à-Arnes;4;44;102;0,00 %;0,00 %;0,00 %;100,00 %
08379;Saint-Étienne-à-Arnes;4;44;219;0,00 %;0,00 %;0,00 %;100,00 %
08380;Saint-Fergeux;4;44;206;0,00 %;0,00 %;0,00 %;100,00 %
08381;Saint-Germainmont;3;44;809;0,00 %;0,00 %;99,37 %;0,63 %
08382;Saint-Jean-aux-Bois;4;44;141;0,00 %;0,00 %;0,00 %;100,00 %
08383;Saint-Juvin;4;44;112;0,00 %;0,00 %;0,00 %;100,00 %
08384;Saint-Lambert-et-Mont-de-Jeux;3;44;174;0,00 %;0,00 %;73,87 %;26,13 %
08385;Saint-Laurent;2;44;1 209;0,00 %;53,79 %;45,33 %;0,88 %
08386;Saint-Loup-en-Champagne;4;44;243;0,00 %;0,00 %;0,00 %;100,00 %
08387;Saint-Loup-Terrier;4;44;167;0,00 %;0,00 %;0,00 %;100,00 %
08388;Saint-Marceau;3;44;365;0,00 %;0,01 %;96,88 %;3,11 %
08389;Saint-Marcel;3;44;319;0,00 %;0,00 %;82,72 %;17,28 %
08390;Sainte-Marie;4;44;88;0,00 %;0,00 %;0,00 %;100,00 %
08391;Saint-Menges;3;44;1 058;0,00 %;93,16 %;5,33 %;1,51 %
08392;Saint-Morel;4;44;236;0,00 %;0,00 %;0,00 %;100,00 %
08393;Saint-Pierre-à-Arnes;4;44;65;0,00 %;0,00 %;0,00 %;100,00 %
08394;Saint-Pierremont;4;44;91;0,00 %;0,00 %;0,00 %;100,00 %
08395;Saint-Pierre-sur-Vence;4;44;148;0,00 %;0,00 %;3,75 %;96,25 %
08396;Saint-Quentin-le-Petit;4;44;147;0,00 %;0,00 %;0,00 %;100,00 %
08397;Saint-Remy-le-Petit;3;44;54;0,00 %;0,00 %;85,92 %;14,08 %
08398;Sainte-Vaubourg;4;44;94;0,00 %;0,00 %;0,00 %;100,00 %
08399;Sapogne-sur-Marche;4;44;146;0,00 %;0,00 %;0,00 %;100,00 %
08400;Sapogne-et-Feuchères;3;44;516;0,00 %;0,00 %;86,02 %;13,98 %
08401;Saulces-Champenoises;4;44;206;0,00 %;0,00 %;0,00 %;100,00 %
08402;Saulces-Monclin;3;44;677;0,00 %;0,00 %;93,22 %;6,78 %
08403;Sault-lès-Rethel;2;44;1 882;0,00 %;93,68 %;6,22 %;0,10 %
08404;Sault-Saint-Remy;3;44;171;0,00 %;0,00 %;99,92 %;0,08 %
08405;Sauville;4;44;270;0,00 %;0,00 %;0,00 %;100,00 %
08406;Savigny-sur-Aisne;4;44;366;0,00 %;0,00 %;0,00 %;100,00 %
08407;Séchault;4;44;67;0,00 %;0,00 %;0,00 %;100,00 %
08408;Sécheval;3;44;507;0,00 %;0,00 %;99,21 %;0,79 %
08409;Sedan;2;44;18 577;0,00 %;96,06 %;3,81 %;0,13 %
08410;Semide;4;44;206;0,00 %;0,00 %;0,00 %;100,00 %
08411;Semuy;4;44;87;0,00 %;0,00 %;0,00 %;100,00 %
08412;Senuc;4;44;149;0,00 %;0,00 %;0,00 %;100,00 %
08413;Seraincourt;4;44;242;0,00 %;0,00 %;0,00 %;100,00 %
08415;Sery;3;44;344;0,00 %;0,00 %;92,89 %;7,11 %
08416;Seuil;4;44;159;0,00 %;0,00 %;0,00 %;100,00 %
08417;Sévigny-la-Forêt;4;44;259;0,00 %;0,00 %;0,12 %;99,88 %
08418;Sévigny-Waleppe;4;44;250;0,00 %;0,00 %;0,00 %;100,00 %
08419;Signy-l'Abbaye;3;44;1 358;0,00 %;0,00 %;94,27 %;5,73 %
08420;Signy-le-Petit;3;44;1 302;0,00 %;0,00 %;84,09 %;15,91 %
08421;Signy-Montlibert;4;44;78;0,00 %;0,00 %;0,00 %;100,00 %
08422;Singly;4;44;125;0,00 %;0,00 %;0,00 %;100,00 %
08424;Sommauthe;4;44;119;0,00 %;0,00 %;0,00 %;100,00 %
08425;Sommerance;4;44;45;0,00 %;0,00 %;0,00 %;100,00 %
08426;Son;4;44;96;0,00 %;0,00 %;0,00 %;100,00 %
08427;Sorbon;4;44;203;0,00 %;0,00 %;0,00 %;100,00 %
08428;Sorcy-Bauthémont;4;44;143;0,00 %;0,00 %;0,00 %;100,00 %
08429;Sormonne;3;44;564;0,00 %;0,00 %;99,29 %;0,71 %
08430;Stonne;4;44;49;0,00 %;0,00 %;0,00 %;100,00 %
08431;Sugny;4;44;105;0,00 %;0,00 %;0,00 %;100,00 %
08432;Sury;4;44;97;0,00 %;0,00 %;0,00 %;100,00 %
08433;Suzanne;4;44;70;0,00 %;0,00 %;0,00 %;100,00 %
08434;Sy;4;44;48;0,00 %;0,00 %;0,00 %;100,00 %
08435;Tagnon;3;44;939;0,00 %;0,00 %;98,56 %;1,44 %
08436;Taillette;3;44;374;0,00 %;0,00 %;56,83 %;43,17 %
08437;Tailly;4;44;175;0,00 %;0,00 %;0,00 %;100,00 %
08438;Taizy;3;44;108;0,00 %;0,00 %;85,55 %;14,45 %
08439;Tannay;4;44;159;0,00 %;0,00 %;0,00 %;100,00 %
08440;Tarzy;4;44;141;0,00 %;0,00 %;0,00 %;100,00 %
08444;Tétaigne;4;44;81;0,00 %;0,00 %;0,00 %;100,00 %
08445;Thelonne;3;44;364;0,00 %;0,00 %;99,93 %;0,07 %
08446;Thénorgues;4;44;105;0,00 %;0,00 %;0,00 %;100,00 %
08448;Thilay;3;44;1 053;0,00 %;0,00 %;95,85 %;4,15 %
08449;Thin-le-Moutier;3;44;557;0,00 %;0,00 %;91,13 %;8,87 %
08450;This;3;44;213;0,00 %;0,00 %;88,41 %;11,59 %
08451;Le Thour;3;44;329;0,00 %;0,00 %;85,75 %;14,25 %
08452;Thugny-Trugny;4;44;232;0,00 %;0,00 %;0,00 %;100,00 %
08453;Toges;4;44;94;0,00 %;0,00 %;0,00 %;100,00 %
08454;Touligny;4;44;75;0,00 %;0,00 %;0,00 %;100,00 %
08455;Tourcelles-Chaumont;4;44;95;0,00 %;0,00 %;0,00 %;100,00 %
08456;Tournavaux;3;44;172;0,00 %;0,00 %;97,66 %;2,34 %
08457;Tournes;3;44;1 014;0,00 %;0,00 %;99,72 %;0,28 %
08458;Tourteron;4;44;177;0,00 %;0,00 %;0,00 %;100,00 %
08459;Tremblois-lès-Carignan;4;44;114;0,00 %;0,00 %;0,00 %;100,00 %
08460;Tremblois-lès-Rocroi;4;44;160;0,00 %;0,00 %;0,00 %;100,00 %
08461;Vandy;4;44;172;0,00 %;0,00 %;0,00 %;100,00 %
08462;Vaux-Champagne;4;44;132;0,00 %;0,00 %;0,00 %;100,00 %
08463;Vaux-en-Dieulet;4;44;69;0,00 %;0,00 %;0,00 %;100,00 %
08464;Vaux-lès-Mouron;4;44;84;0,00 %;0,00 %;0,00 %;100,00 %
08465;Vaux-lès-Rubigny;4;44;46;0,00 %;0,00 %;0,00 %;100,00 %
08466;Vaux-lès-Mouzon;4;44;84;0,00 %;0,00 %;0,00 %;100,00 %
08467;Vaux-Montreuil;3;44;108;0,00 %;0,00 %;84,81 %;15,19 %
08468;Vaux-Villaine;3;44;192;0,00 %;0,00 %;92,96 %;7,04 %
08469;Vendresse;3;44;494;0,00 %;0,00 %;83,31 %;16,69 %
08470;Verpel;4;44;81;0,00 %;0,00 %;0,00 %;100,00 %
08471;Verrières;4;44;33;0,00 %;0,00 %;0,00 %;100,00 %
08472;Viel-Saint-Remy;4;44;241;0,00 %;0,00 %;0,00 %;100,00 %
08473;Vieux-lès-Asfeld;3;44;257;0,00 %;0,00 %;100,00 %;0,00 %
08476;Villers-devant-le-Thour;3;44;390;0,00 %;0,00 %;93,69 %;6,31 %
08477;Villers-devant-Mouzon;3;44;105;0,00 %;0,00 %;58,23 %;41,77 %
08478;Villers-le-Tilleul;4;44;261;0,00 %;0,00 %;0,00 %;100,00 %
08479;Villers-le-Tourneur;4;44;178;0,00 %;0,00 %;0,00 %;100,00 %
08480;Villers-Semeuse;2;44;3 405;0,00 %;80,11 %;19,07 %;0,82 %
08481;Villers-sur-Bar;3;44;249;0,00 %;0,00 %;98,44 %;1,56 %
08482;Villers-sur-le-Mont;4;44;95;0,00 %;0,00 %;0,00 %;100,00 %
08483;Ville-sur-Lumes;3;44;495;0,00 %;86,67 %;12,85 %;0,48 %
08484;Ville-sur-Retourne;4;44;76;0,00 %;0,00 %;0,00 %;100,00 %
08485;Villy;4;44;183;0,00 %;0,00 %;0,00 %;100,00 %
08486;Vireux-Molhain;3;44;1 680;0,00 %;0,00 %;100,00 %;0,00 %
08487;Vireux-Wallerand;3;44;1 933;0,00 %;0,00 %;96,97 %;3,03 %
08488;Vivier-au-Court;2;44;3 321;0,00 %;90,27 %;9,40 %;0,33 %
08489;Voncq;4;44;227;0,00 %;0,00 %;0,00 %;100,00 %
08490;Vouziers;3;44;4 598;0,00 %;0,00 %;89,47 %;10,53 %
08491;Vrigne aux Bois;2;44;3 849;0,00 %;82,27 %;17,00 %;0,73 %
08492;Vrigne-Meuse;4;44;261;0,00 %;0,00 %;0,01 %;99,99 %
08494;Wadelincourt;3;44;524;0,00 %;41,11 %;57,73 %;1,16 %
08496;Wagnon;4;44;113;0,00 %;0,00 %;0,00 %;100,00 %
08497;Warcq;3;44;1 312;0,00 %;37,86 %;56,73 %;5,40 %
08498;Warnécourt;3;44;378;0,00 %;0,00 %;94,10 %;5,90 %
08499;Wasigny;3;44;358;0,00 %;0,00 %;97,91 %;2,09 %
08500;Wignicourt;3;44;67;0,00 %;0,00 %;100,00 %;0,00 %
08501;Williers;4;44;48;0,00 %;0,00 %;0,00 %;100,00 %
08502;Yoncq;4;44;94;0,00 %;0,00 %;0,00 %;100,00 %
08503;Yvernaumont;3;44;134;0,00 %;0,00 %;97,17 %;2,83 %
09001;Aigues-Juntes;4;76;44;0,00 %;0,00 %;0,00 %;100,00 %
09002;Aigues-Vives;3;76;577;0,00 %;0,00 %;94,45 %;5,55 %
09003;L'Aiguillon;3;76;392;0,00 %;0,00 %;94,95 %;5,05 %
09004;Albiès;3;76;134;0,00 %;0,00 %;100,00 %;0,00 %
09005;Aleu;4;76;152;0,00 %;0,00 %;17,79 %;82,21 %
09006;Alliat;3;76;61;0,00 %;0,00 %;97,25 %;2,75 %
09007;Allières;4;76;61;0,00 %;0,00 %;0,00 %;100,00 %
09008;Alos;4;76;130;0,00 %;0,00 %;0,00 %;100,00 %
09009;Alzen;4;76;221;0,00 %;0,00 %;0,00 %;100,00 %
09011;Antras;4;76;62;0,00 %;0,00 %;0,00 %;100,00 %
09012;Appy;4;76;28;0,00 %;0,00 %;0,00 %;100,00 %
09013;Arabaux;4;76;59;0,00 %;0,00 %;0,03 %;99,97 %
09014;Argein;3;76;177;0,00 %;0,00 %;98,84 %;1,16 %
09015;Arignac;3;76;712;0,00 %;0,00 %;98,13 %;1,87 %
09016;Arnave;4;76;217;0,00 %;0,00 %;0,00 %;100,00 %
09017;Arrien-en-Bethmale;4;76;101;0,00 %;0,00 %;0,00 %;100,00 %
09018;Arrout;3;76;75;0,00 %;0,00 %;91,48 %;8,52 %
09019;Artigat;4;76;566;0,00 %;0,00 %;0,00 %;100,00 %
09020;Artigues;4;76;50;0,00 %;0,00 %;0,00 %;100,00 %
09021;Artix;4;76;118;0,00 %;0,00 %;0,00 %;100,00 %
09022;Arvigna;4;76;215;0,00 %;0,00 %;0,00 %;100,00 %
09023;Ascou;4;76;139;0,00 %;0,00 %;38,57 %;61,43 %
09024;Aston;3;76;218;0,00 %;0,00 %;89,97 %;10,03 %
09025;Aucazein;3;76;64;0,00 %;0,00 %;90,24 %;9,76 %
09026;Audressein;3;76;116;0,00 %;0,00 %;97,40 %;2,60 %
09027;Augirein;4;76;64;0,00 %;0,00 %;0,00 %;100,00 %
09028;Aulos;3;76;55;0,00 %;0,00 %;100,00 %;0,00 %
09029;Aulus-les-Bains;4;76;237;0,00 %;0,00 %;0,00 %;100,00 %
09030;Auzat;3;76;582;0,00 %;0,00 %;90,64 %;9,36 %
09031;Axiat;4;76;24;0,00 %;0,00 %;0,00 %;100,00 %
09032;Ax-les-Thermes;3;76;1 363;0,00 %;0,00 %;95,95 %;4,05 %
09033;Bagert;4;76;59;0,00 %;0,00 %;0,00 %;100,00 %
09034;Balacet;4;76;20;0,00 %;0,00 %;0,00 %;100,00 %
09035;Balaguères;3;76;199;0,00 %;0,00 %;54,50 %;45,50 %
09037;Barjac;4;76;36;0,00 %;0,00 %;0,00 %;100,00 %
09038;La Bastide-de-Besplas;3;76;390;0,00 %;0,00 %;84,12 %;15,88 %
09039;La Bastide-de-Bousignac;4;76;339;0,00 %;0,00 %;2,90 %;97,10 %
09040;La Bastide-de-Lordat;4;76;264;0,00 %;0,00 %;0,00 %;100,00 %
09041;La Bastide-du-Salat;3;76;204;0,00 %;0,00 %;87,89 %;12,11 %
09042;La Bastide-de-Sérou;3;76;958;0,00 %;0,00 %;55,99 %;44,01 %
09043;La Bastide-sur-l'Hers;3;76;724;0,00 %;0,00 %;97,24 %;2,76 %
09044;Baulou;4;76;160;0,00 %;0,00 %;0,00 %;100,00 %
09045;Bédeilhac-et-Aynat;3;76;203;0,00 %;0,00 %;93,35 %;6,65 %
09046;Bédeille;4;76;82;0,00 %;0,00 %;0,00 %;100,00 %
09047;Bélesta;3;76;1 102;0,00 %;0,00 %;91,48 %;8,52 %
09048;Belloc;4;76;65;0,00 %;0,00 %;0,00 %;100,00 %
09049;Bénac;3;76;172;0,00 %;0,00 %;100,00 %;0,00 %
09050;Benagues;2;76;456;0,00 %;64,24 %;32,92 %;2,84 %
09051;Bénaix;4;76;155;0,00 %;3,82 %;43,04 %;53,13 %
09052;Besset;3;76;145;0,00 %;0,00 %;78,63 %;21,37 %
09053;Bestiac;4;76;19;0,00 %;0,00 %;0,00 %;100,00 %
09054;Betchat;3;76;364;0,00 %;0,00 %;60,37 %;39,63 %
09055;Bethmale;4;76;98;0,00 %;0,00 %;0,00 %;100,00 %
09056;Bézac;4;76;303;0,00 %;0,00 %;0,00 %;100,00 %
09057;Biert;4;76;294;0,00 %;0,00 %;31,82 %;68,18 %
09058;Bompas;3;76;204;0,00 %;0,00 %;100,00 %;0,00 %
09059;Bonac-Irazein;4;76;135;0,00 %;0,00 %;0,00 %;100,00 %
09060;Bonnac;3;76;722;0,00 %;0,00 %;96,99 %;3,01 %
09061;Les Bordes-sur-Arize;3;76;517;0,00 %;0,00 %;90,55 %;9,45 %
09062;Bordes-Uchentein;4;76;194;0,00 %;0,00 %;0,02 %;99,98 %
09063;Le Bosc;4;76;112;0,00 %;0,00 %;0,00 %;100,00 %
09064;Bouan;4;76;37;0,00 %;0,00 %;0,00 %;100,00 %
09065;Boussenac;4;76;192;0,00 %;0,00 %;22,42 %;77,58 %
09066;Brassac;3;76;638;0,00 %;0,00 %;94,13 %;5,87 %
09067;Brie;4;76;191;0,00 %;0,00 %;0,00 %;100,00 %
09068;Burret;4;76;42;0,00 %;0,00 %;0,00 %;100,00 %
09069;Buzan;4;76;24;0,00 %;0,00 %;0,00 %;100,00 %
09070;Les Cabannes;3;76;351;0,00 %;0,00 %;100,00 %;0,00 %
09071;Cadarcet;4;76;236;0,00 %;0,00 %;0,00 %;100,00 %
09072;Calzan;4;76;26;0,00 %;0,00 %;0,00 %;100,00 %
09073;Camarade;4;76;180;0,00 %;0,00 %;0,00 %;100,00 %
09074;Camon;4;76;166;0,00 %;0,00 %;0,00 %;100,00 %
09075;Campagne-sur-Arize;3;76;268;0,00 %;0,00 %;77,90 %;22,10 %
09076;Canté;3;76;207;0,00 %;0,00 %;69,07 %;30,93 %
09077;Capoulet-et-Junac;3;76;184;0,00 %;0,00 %;95,99 %;4,01 %
09078;Carcanières;4;76;72;0,00 %;0,00 %;0,00 %;100,00 %
09079;Carla-Bayle;4;76;770;0,00 %;0,00 %;12,67 %;87,33 %
09080;Carla-de-Roquefort;4;76;153;0,00 %;0,00 %;0,00 %;100,00 %
09081;Le Carlaret;4;76;235;0,00 %;0,00 %;1,20 %;98,80 %
09082;Castelnau-Durban;3;76;420;0,00 %;0,00 %;72,33 %;27,67 %
09083;Castéras;4;76;31;0,00 %;0,00 %;0,00 %;100,00 %
09084;Castex;4;76;95;0,00 %;0,00 %;0,00 %;100,00 %
09085;Castillon-en-Couserans;3;76;416;0,00 %;0,00 %;92,92 %;7,08 %
09086;Caumont;3;76;310;0,00 %;0,00 %;87,06 %;12,94 %
09087;Caussou;4;76;65;0,00 %;0,00 %;0,00 %;100,00 %
09088;Caychax;4;76;12;0,00 %;0,00 %;0,00 %;100,00 %
09089;Cazals-des-Baylès;4;76;43;0,00 %;0,00 %;0,00 %;100,00 %
09090;Cazaux;4;76;45;0,00 %;0,00 %;0,00 %;100,00 %
09091;Cazavet;4;76;216;0,00 %;0,00 %;0,00 %;100,00 %
09092;Cazenave-Serres-et-Allens;4;76;44;0,00 %;0,00 %;0,00 %;100,00 %
09093;Celles;4;76;119;0,00 %;0,00 %;4,44 %;95,56 %
09094;Cérizols;4;76;154;0,00 %;0,00 %;0,00 %;100,00 %
09095;Cescau;3;76;141;0,00 %;0,00 %;92,08 %;7,92 %
09096;Château-Verdun;3;76;49;0,00 %;0,00 %;100,00 %;0,00 %
09097;Clermont;4;76;95;0,00 %;0,00 %;0,00 %;100,00 %
09098;Contrazy;4;76;61;0,00 %;0,00 %;0,00 %;100,00 %
09099;Cos;3;76;375;0,00 %;0,00 %;97,03 %;2,97 %
09100;Couflens;4;76;82;0,00 %;0,00 %;0,00 %;100,00 %
09101;Coussa;4;76;223;0,00 %;0,00 %;0,00 %;100,00 %
09102;Coutens;3;76;158;0,00 %;0,00 %;93,93 %;6,07 %
09103;Crampagna;3;76;648;0,00 %;0,00 %;89,74 %;10,26 %
09104;Dalou;3;76;782;0,00 %;20,77 %;76,89 %;2,34 %
09105;Daumazan-sur-Arize;3;76;714;0,00 %;0,00 %;79,87 %;20,13 %
09106;Dreuilhe;3;76;365;0,00 %;0,00 %;89,86 %;10,14 %
09107;Dun;4;76;585;0,00 %;0,00 %;0,00 %;100,00 %
09108;Durban-sur-Arize;4;76;163;0,00 %;0,00 %;0,00 %;100,00 %
09109;Durfort;4;76;163;0,00 %;0,00 %;0,00 %;100,00 %
09110;Encourtiech;4;76;99;0,00 %;0,00 %;9,33 %;90,67 %
09111;Engomer;3;76;274;0,00 %;0,00 %;89,14 %;10,86 %
09113;Ercé;4;76;560;0,00 %;0,00 %;0,00 %;100,00 %
09114;Erp;4;76;144;0,00 %;0,00 %;0,00 %;100,00 %
09115;Esclagne;3;76;114;0,00 %;0,00 %;100,00 %;0,00 %
09116;Escosse;4;76;414;0,00 %;0,00 %;0,00 %;100,00 %
