;INDREP_red;iris;libcom17;lib_com16;lib_dep;REG;reg16;lib_reg;lib_reg16;LIB_EPCI16;BAT_red;CODEPOSTAL_red;CODSEGPATRIM_red;COMPLGEO_red;COMPLIDENT_red;construct_red;CONV_red;COULOIR_red;CUS_red;DATCONV_red;DEP;DEPCOM_red;depcom_red16;DPEDATE_red;DPEENERGIE_red;DPESERRE_red;DROIT_red;ENTREE_red;EPCI16;ESC_red;ETAGE_red;finan_red;IMMEU_red;LIBSEGPATRIM_red;LIEUDIT_red;locat_red;nbpiece_red;NOMVOIE_red;NUMAPPT_red;NUMBOITE_red;NUMCONV_red;NUMVOIE_red;origine_red;patrimoine_red;QPV_red;SRU_ALINEA_red;SRU_EXPIR_red;surfhab_red;TYPECONST_red;TYPVOIE_red;x;y;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district
19468;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;1;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;TRUE;244400404;4;2;12;1;AGENCE GOUDY;NA;1986;3;RUE CRUCY;36;;4486038M;29;1;1986;2;1;2020;70;C;RUE;355842;6689126.6;47.213178;-1.549639;29 Rue Crucy 44000 Nantes;0.98;housenumber;44109_2336_00029;29;Rue Crucy;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19469;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;1;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;TRUE;244400404;4;2;12;1;AGENCE GOUDY;NA;1986;3;RUE CRUCY;37;;4486038M;29;1;1986;2;1;2020;70;C;RUE;355842;6689126.6;47.213178;-1.549639;29 Rue Crucy 44000 Nantes;0.98;housenumber;44109_2336_00029;29;Rue Crucy;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19470;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;1;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;TRUE;244400404;4;3;12;1;AGENCE GOUDY;NA;1986;4;RUE CRUCY;38;;4486038M;29;1;1986;2;1;2020;82;C;RUE;355842;6689126.6;47.213178;-1.549639;29 Rue Crucy 44000 Nantes;0.98;housenumber;44109_2336_00029;29;Rue Crucy;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19471;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;1;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;TRUE;244400404;4;3;12;1;AGENCE GOUDY;NA;1986;3;RUE CRUCY;39;;4486038M;29;1;1986;2;1;2020;73;C;RUE;355842;6689126.6;47.213178;-1.549639;29 Rue Crucy 44000 Nantes;0.98;housenumber;44109_2336_00029;29;Rue Crucy;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19472;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;1;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;TRUE;244400404;5;0;12;1;AGENCE GOUDY;NA;1986;2;RUE CRUCY;40;;4486038M;31;1;1986;2;1;2020;57;C;RUE;355829.9;6689117.2;47.213073;-1.549822;31 Rue Crucy 44000 Nantes;0.98;housenumber;44109_2336_00031;31;Rue Crucy;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19473;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;1;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;TRUE;244400404;5;0;12;1;AGENCE GOUDY;NA;1986;2;RUE CRUCY;41;;4486038M;31;1;1986;2;1;2020;52;C;RUE;355829.9;6689117.2;47.213073;-1.549822;31 Rue Crucy 44000 Nantes;0.98;housenumber;44109_2336_00031;31;Rue Crucy;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19474;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;1;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;TRUE;244400404;5;1;12;1;AGENCE GOUDY;NA;1986;3;RUE CRUCY;42;;4486038M;31;1;1986;2;1;2020;70;C;RUE;355829.9;6689117.2;47.213073;-1.549822;31 Rue Crucy 44000 Nantes;0.98;housenumber;44109_2336_00031;31;Rue Crucy;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19475;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;1;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;TRUE;244400404;5;1;12;1;AGENCE GOUDY;NA;1986;2;RUE CRUCY;43;;4486038M;31;1;1986;2;1;2020;52;C;RUE;355829.9;6689117.2;47.213073;-1.549822;31 Rue Crucy 44000 Nantes;0.98;housenumber;44109_2336_00031;31;Rue Crucy;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19476;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;1;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;TRUE;244400404;5;2;12;1;AGENCE GOUDY;NA;1986;3;RUE CRUCY;44;;4486038M;31;1;1986;2;1;2020;70;C;RUE;355829.9;6689117.2;47.213073;-1.549822;31 Rue Crucy 44000 Nantes;0.98;housenumber;44109_2336_00031;31;Rue Crucy;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
19477;NA;0108;NANTES;NANTES;LOIRE-ATLANTIQUE;52;52;Pays de la Loire;Pays de la Loire;Nantes M;1;44000;3;;NA;1986;1;NA;NA;19/12/1986;44;44109;NA;07/2010;C;D;5;TRUE;244400404;5;2;12;1;AGENCE GOUDY;NA;1986;2;RUE CRUCY;45;;4486038M;31;1;1986;2;1;2020;52;C;RUE;355829.9;6689117.2;47.213073;-1.549822;31 Rue Crucy 44000 Nantes;0.98;housenumber;44109_2336_00031;31;Rue Crucy;;44000;Nantes;44, Loire-Atlantique, Pays de la Loire;44109;;;
